test	case	ref	tested	padj05	up	down	median_disp
F2 block1119+ vs F2 other	10	17	27123	721	297	215	0.103887257935014
random split F0/F1 10 vs 17 (seed 1)	10	17	26795	0	0	0	0.162625911511969
random split F0/F1 10 vs 17 (seed 2)	10	17	26868	3	2	1	0.171610283808628
random split F0/F1 10 vs 17 (seed 3)	10	17	26951	1	0	1	0.140271696061199
main F4 vs F0 (all)	12	35	28006	12700	4320	5162	0.168451857117117
F4 vs F0, F4 outside block only	4	35	30264	1642	1075	473	0.15645905193362
