cohort	gsm	stage	gene	ensembl_id	raw	cpm	norm	lib_size	size_factor
GSE135251	GSM3998214	4	LOX	ENSG00000113083	28	1.37607933765763	29.8499945125915	20347664	0.938023623025755
GSE135251	GSM3998215	2	LOX	ENSG00000113083	20	0.864509565452538	19.6236139196759	23134504	1.01918026322087
GSE135251	GSM3998216	control	LOX	ENSG00000113083	41	1.64146017731533	43.5885092097352	24977761	0.940614871747964
GSE135251	GSM3998217	control	LOX	ENSG00000113083	18	0.914355054328691	23.5176608975939	19686007	0.765382240962644
GSE135251	GSM3998218	control	LOX	ENSG00000113083	29	1.26503389178473	29.2082353529606	22924287	0.992870663001574
GSE135251	GSM3998219	0	LOX	ENSG00000113083	30	1.00204791873311	26.8448940105255	29938688	1.11753095349296
GSE135251	GSM3998220	control	LOX	ENSG00000113083	18	0.78149760991981	20.4756751895056	23032700	0.87909188993316
GSE135251	GSM3998221	control	LOX	ENSG00000113083	17	0.800805553859732	20.7485259705912	21228624	0.819335312016655
GSE135251	GSM3998222	control	LOX	ENSG00000113083	2	0.0913297849580849	2.26065875346704	21898661	0.884697877082385
GSE135251	GSM3998223	control	LOX	ENSG00000113083	27	1.28695141372328	30.8260723948415	20979813	0.875881937022837
GSE135251	GSM3998225	3	LOX	ENSG00000113083	40	1.32985368251612	25.4786340106289	30078497	1.56994287775841
GSE135251	GSM3998226	4	LOX	ENSG00000113083	60	1.95542032737647	43.7197083714435	30683940	1.37237877915925
GSE135251	GSM3998227	4	LOX	ENSG00000113083	18	0.822981257836325	17.1306517673582	21871701	1.05074811189019
GSE135251	GSM3998228	1	LOX	ENSG00000113083	34	1.15978244255163	27.7443694371418	29315843	1.22547387775495
GSE135251	GSM3998229	3	LOX	ENSG00000113083	10	0.416573701302326	10.9039781824066	24005356	0.917096479167106
GSE135251	GSM3998230	4	LOX	ENSG00000113083	7	0.361787675599463	9.54569698963487	19348365	0.733314707936036
GSE135251	GSM3998231	1	LOX	ENSG00000113083	11	0.453446110052772	12.3323598897415	24258671	0.891962292565775
GSE135251	GSM3998232	1	LOX	ENSG00000113083	3	0.136486989582449	2.97593224767606	21980117	1.0080874664881
GSE135251	GSM3998233	3	LOX	ENSG00000113083	37	1.59830479473727	32.7872082769615	23149527	1.12848888162274
GSE135251	GSM3998234	1	LOX	ENSG00000113083	15	0.683407134469785	16.0045375693764	21948849	0.937234202174106
GSE135251	GSM3998235	2	LOX	ENSG00000113083	15	0.453792640058182	12.6259185760949	33054745	1.18803237242477
GSE135251	GSM3998236	1	LOX	ENSG00000113083	12	0.495672039586352	11.604481250991	24209556	1.03408327700777
GSE135251	GSM3998237	2	LOX	ENSG00000113083	10	0.371212362500157	10.9889699971939	26938758	0.910003394545034
GSE135251	GSM3998238	2	LOX	ENSG00000113083	8	0.324984825239816	8.19117075087053	24616534	0.976661364207282
GSE135251	GSM3998239	3	LOX	ENSG00000113083	15	0.552344917749214	15.5586477065611	27156944	0.96409407057109
GSE135251	GSM3998240	2	LOX	ENSG00000113083	9	0.387776174730221	9.35292248179898	23209265	0.96226607432214
GSE135251	GSM3998241	3	LOX	ENSG00000113083	10	0.395087544683414	9.64937707489586	25310846	1.0363363274523
GSE135251	GSM3998242	4	LOX	ENSG00000113083	38	2.14662184143661	49.837856022618	17702233	0.762472606822299
GSE135251	GSM3998243	2	LOX	ENSG00000113083	5	0.222744563172741	5.3893956982327	22447237	0.927747799561203
GSE135251	GSM3998244	0	LOX	ENSG00000113083	6	0.252368021724512	6.2210554472264	23774803	0.964466568558724
GSE135251	GSM3998245	2	LOX	ENSG00000113083	8	0.318272797184241	6.95419196232868	25135670	1.15038527025664
GSE135251	GSM3998246	2	LOX	ENSG00000113083	4	0.168563199316038	3.63048239571268	23729972	1.10178195732988
GSE135251	GSM3998247	0	LOX	ENSG00000113083	30	0.917077290570957	22.5185735271444	32712619	1.33223358770205
GSE135251	GSM3998248	2	LOX	ENSG00000113083	32	1.17398325437623	25.2627173663098	27257629	1.26668875465768
GSE135251	GSM3998249	0	LOX	ENSG00000113083	8	0.254915552531691	6.15528144070175	31382942	1.29969686635286
GSE135251	GSM3998250	4	LOX	ENSG00000113083	12	0.394707290993608	9.47073705589284	30402276	1.26706083477773
GSE135251	GSM3998251	3	LOX	ENSG00000113083	15	0.540448245613119	14.0156595796881	27754739	1.07023147321147
GSE135251	GSM3998252	2	LOX	ENSG00000113083	11	0.442046587289834	11.6115501954045	24884255	0.947332596844257
GSE135251	GSM3998253	3	LOX	ENSG00000113083	8	0.347533675144287	9.0084765714686	23019352	0.888052484405342
GSE135251	GSM3998254	0	LOX	ENSG00000113083	14	0.477398684575665	11.5396481070594	29325594	1.21320857188318
GSE135251	GSM3998255	1	LOX	ENSG00000113083	14	0.485866406519911	13.3230995081199	28814505	1.05080653277922
GSE135251	GSM3998256	2	LOX	ENSG00000113083	7	0.324550818190294	7.79355353699579	21568271	0.898178214439817
GSE135251	GSM3998257	2	LOX	ENSG00000113083	19	0.707869331196114	15.6290417315335	26841112	1.21568553762738
GSE135251	GSM3998258	4	LOX	ENSG00000113083	38	1.3894821612064	29.3890066821787	27348318	1.29300048861614
GSE135251	GSM3998259	2	LOX	ENSG00000113083	0	0	0	21534866	0.517110348494805
GSE135251	GSM3998260	2	LOX	ENSG00000113083	6	0.218801878837147	6.57520922728883	27422068	0.912518490681398
GSE135251	GSM3998261	3	LOX	ENSG00000113083	11	0.383528162734486	10.5435908382274	28681075	1.04328782942883
GSE135251	GSM3998262	3	LOX	ENSG00000113083	13	0.471577498193586	12.182679569317	27567049	1.06708872428537
GSE135251	GSM3998263	2	LOX	ENSG00000113083	19	0.636613356329148	16.3908866460023	29845431	1.15918073319323
GSE135251	GSM3998264	2	LOX	ENSG00000113083	22	0.705733846915101	18.2662609109789	31173225	1.20440631540399
GSE135251	GSM3998265	3	LOX	ENSG00000113083	14	0.487551317388037	14.4813285328808	28714926	0.966762128779284
GSE135251	GSM3998266	0	LOX	ENSG00000113083	10	0.381813155074444	11.5034663182725	26190821	0.8693031929094
GSE135251	GSM3998267	0	LOX	ENSG00000113083	13	0.430685179370935	11.7086441659071	30184461	1.11029080872173
GSE135251	GSM3998268	3	LOX	ENSG00000113083	5	0.310145587921591	7.33895318318452	16121461	0.681296075229955
GSE135251	GSM3998269	2	LOX	ENSG00000113083	22	0.858687881981937	20.2408955027315	25620485	1.08690843233844
GSE135251	GSM3998270	0	LOX	ENSG00000113083	13	0.420037928778757	11.3480493637162	30949586	1.14557132977987
GSE135251	GSM3998271	1	LOX	ENSG00000113083	6	0.190461920948145	4.57677451147039	31502360	1.31096692331307
GSE135251	GSM3998272	0	LOX	ENSG00000113083	8	0.337098882352869	8.37903943377425	23731909	0.954763378693933
GSE135251	GSM3998273	1	LOX	ENSG00000113083	4	0.1994667654958	6.22259051557233	20053466	0.642819094393213
GSE135251	GSM3998274	3	LOX	ENSG00000113083	8	0.285174643625268	8.20122424999439	28052985	0.975464120494629
GSE135251	GSM3998275	4	LOX	ENSG00000113083	18	0.71447354711308	21.0465798560088	25193375	0.855245846268033
GSE135251	GSM3998276	0	LOX	ENSG00000113083	15	0.623443443559104	15.4150470875644	24059921	0.973075198200384
GSE135251	GSM3998277	2	LOX	ENSG00000113083	3	0.173662848167961	4.33447911516384	17274852	0.692124686794482
GSE135251	GSM3998278	2	LOX	ENSG00000113083	1	0.0538944826870711	1.38011747318588	18554775	0.724576001267188
GSE135251	GSM3998279	1	LOX	ENSG00000113083	7	0.285296320781966	7.61732043727837	24535893	0.918958321057722
