ensembl_id	baseMean	log2FC	lfcSE	log2FC_shrunk	stat	pvalue	padj	deg
ENSG00000198542	130.230716876575	2.20710754433003	0.159321073704484	2.18388349116026	13.8532053105785	1.21659719513268e-43	1.85750059752858e-39	TRUE
ENSG00000104435	34.0109537002072	4.0752898274525	0.303821162554925	4.02992407632001	13.4134495213636	5.04371399554353e-41	3.85037126419793e-37	TRUE
ENSG00000138131	110.529152630505	2.10276932680041	0.161189206694404	2.07793504204583	13.0453481962165	6.75476856493375e-39	3.43772688164695e-35	TRUE
ENSG00000186340	203.78172880622	1.54315293573895	0.124515426562663	1.52371446584555	12.3932670701035	2.84223646098244e-35	1.084881657157e-31	TRUE
ENSG00000119681	103.958664170513	1.85571626606761	0.150156949073086	1.83203575503788	12.358510728427	4.38199769678463e-35	1.33808681669016e-31	TRUE
ENSG00000079931	35.7973541828356	2.38144251822292	0.194527765037172	2.34977660941517	12.2421728217967	1.85012410413594e-34	4.70794913699126e-31	TRUE
ENSG00000163075	35.7670750750218	1.73422107182915	0.148433609997094	1.70860998539064	11.683479717721	1.54825001118296e-31	3.37695445296307e-28	TRUE
ENSG00000154096	125.976749992037	1.96468318196168	0.17139342409132	1.93439362795771	11.4630021097826	2.02376050929803e-30	3.86234693199528e-27	TRUE
ENSG00000137673	46.1630433171205	2.34154292376336	0.207140882568822	2.30489862527043	11.3041080771942	1.25220019061309e-29	2.12428805669785e-26	TRUE
ENSG00000102287	204.488940598475	1.64882108239751	0.1462632773277	1.62218351259811	11.2729668890391	1.78453449500534e-29	2.72462726697415e-26	TRUE
ENSG00000169429	19.7108875219248	2.5149840290717	0.224082763867934	2.47540384007851	11.2234604110557	3.1278671274946e-29	4.3414795729625e-26	TRUE
ENSG00000124766	63.9069672146144	1.38507889583706	0.123616644970511	1.36276732531094	11.2046310281878	3.86962766843173e-29	4.92345627013463e-26	TRUE
ENSG00000140092	443.867329170949	1.24369031755153	0.112066633843086	1.22350048053913	11.0977752690683	1.28605284719212e-28	1.51041960545609e-25	TRUE
ENSG00000159212	26.4426892088129	2.10058753975512	0.19336596818006	2.06395834652143	10.8632742334426	1.72452816304879e-27	1.81679586122035e-24	TRUE
ENSG00000124875	31.6148911137705	2.19018668771938	0.201672193326225	2.15453953866385	10.8601322353674	1.78490554874936e-27	1.81679586122035e-24	TRUE
ENSG00000137819	42.1593587626899	1.38754487200437	0.12806668424019	1.36421748897409	10.8345498303214	2.36123902924909e-27	2.25321234366095e-24	TRUE
ENSG00000234899	58.315442910306	1.31580092912801	0.122561134715368	1.29333191759857	10.7358742409148	6.9062162857249e-27	6.20259472061458e-24	TRUE
ENSG00000272398	388.222233977323	1.61649541087019	0.150947964159857	1.58784965830277	10.7089580165406	9.23958776439147e-27	7.83722366592939e-24	TRUE
ENSG00000154065	89.3097105921487	1.1619394617118	0.110332950678377	1.14151951643291	10.5312098930344	6.20319866840797e-26	4.98475985627647e-23	TRUE
ENSG00000139329	810.64681511561	1.49523689587508	0.142516272974233	1.46893000276303	10.4916923848087	9.4323544792375e-26	7.20065940944991e-23	TRUE
ENSG00000172965	38.5463406645063	1.39038279021849	0.13258812159328	1.36535191866495	10.486480791119	9.96719115171203e-26	7.24662259544472e-23	TRUE
ENSG00000143196	370.090585413533	1.63600206971471	0.156908549268186	1.60528059846828	10.4264686490631	1.87736262796392e-25	1.30288966380696e-22	TRUE
ENSG00000125398	85.0402872955048	1.59963951408624	0.155249390884187	1.56896746718498	10.3036765875593	6.78186734944645e-25	4.50198046484124e-22	TRUE
ENSG00000067798	19.843066492181	1.4697837735919	0.143045280582025	1.44186566751605	10.2749546689805	9.13873890350345e-25	5.81376106577878e-22	TRUE
ENSG00000117525	39.3815159003447	1.38317403597267	0.134716573632327	1.35727605066943	10.2672893073103	9.89457914851345e-25	6.04281737758013e-22	TRUE
ENSG00000148180	1127.87971190326	1.32591122164271	0.129287990592315	1.30221740933592	10.2554863415251	1.11811710777843e-24	6.5659276929081e-22	TRUE
ENSG00000115380	192.633005128149	2.06091964814245	0.203815826430125	2.02015097640262	10.1116762335873	4.90379767413665e-24	2.77300677365624e-21	TRUE
ENSG00000166145	58.1518144656599	1.7274613589802	0.170997438032775	1.69321118611022	10.10226456521	5.39810087090797e-24	2.91423190460153e-21	TRUE
ENSG00000129038	21.0291265552527	1.93246510367408	0.191340421027837	1.89449590589822	10.0996177038459	5.54579582357827e-24	2.91423190460153e-21	TRUE
ENSG00000102452	28.5343681157377	1.52974919404883	0.151513142614406	1.49985003709163	10.0964785473559	5.72615648009208e-24	2.91423190460153e-21	TRUE
ENSG00000013297	41.188789322867	1.30785740069244	0.129905379013749	1.28243359118306	10.0677694074086	7.669778366578e-24	3.77748955164235e-21	TRUE
ENSG00000006327	91.3192696972972	1.5079908585445	0.150179776378976	1.47739109993359	10.0412378743933	1.00406122228426e-23	4.79062710682379e-21	TRUE
ENSG00000197461	70.9758368720038	1.30077244313274	0.131118792898215	1.27472208721131	9.92056450780856	3.38834339074898e-23	1.56767354211986e-20	TRUE
ENSG00000203805	15.2630699856767	1.27083709595213	0.128172179569791	1.24537667352615	9.91507751695948	3.57978466407037e-23	1.60753388973607e-20	TRUE
ENSG00000103064	63.5857938921042	1.01324152933629	0.102388485512203	0.99295303962708	9.89604958279738	4.33043802624586e-23	1.88906079384919e-20	TRUE
ENSG00000164692	934.208895589644	1.09814071917485	0.111220758383861	1.07691079471486	9.87352302872085	5.4225889017857e-23	2.29978020423511e-20	TRUE
ENSG00000119888	80.8544808866011	1.94267016398932	0.196849625315314	1.90252940715089	9.86880295493349	5.6838839798483e-23	2.3454470433601e-20	TRUE
ENSG00000087245	176.753554403164	1.20271075857212	0.122241564435051	1.17661665599861	9.83880371729973	7.66164043282145e-23	3.078366477061e-20	TRUE
ENSG00000162909	895.64365617339	0.657277016283805	0.0672311805342911	0.64438048090541	9.77637178256244	1.42217506792489e-22	5.56763306078905e-20	TRUE
ENSG00000050555	100.585535197278	1.75457538606273	0.179909970067033	1.71692362884913	9.75251891492721	1.79946886257341e-22	6.8685726484427e-20	TRUE
ENSG00000146038	111.590647988777	1.51578788360779	0.156227583167177	1.48397242010277	9.70243444133524	2.94389160825483e-22	1.09627651402036e-19	TRUE
ENSG00000050165	170.983255762982	1.15642687206413	0.119440055506952	1.13221666526442	9.68206911120214	3.59368077454946e-22	1.30638852537669e-19	TRUE
ENSG00000262655	32.2500131678608	1.92041987205715	0.198841808784856	1.87907543745139	9.65802857956807	4.54526315879106e-22	1.613885532754e-19	TRUE
ENSG00000113361	34.8583156478252	1.75538875825145	0.181917074861906	1.71747280979112	9.64938975400727	4.94491096027121e-22	1.71588410321411e-19	TRUE
ENSG00000101384	174.18213729015	1.12288464298612	0.11656458815881	1.09934745824422	9.63315412272794	5.79236483800183e-22	1.96528502992471e-19	TRUE
ENSG00000135480	221.658361940375	1.64965803025053	0.1717548963842	1.61437273083	9.60472199034373	7.63637277636897e-22	2.53461172933916e-19	TRUE
ENSG00000134769	128.378518638521	1.72801366171326	0.180338980492947	1.68975345902197	9.58203077886891	9.5155237469924e-22	3.09112801210808e-19	TRUE
ENSG00000112655	29.3498466844023	1.29511826809496	0.135392045299257	1.26717334437838	9.56568951471525	1.11456024744577e-21	3.54523038708375e-19	TRUE
ENSG00000134258	31.2007702476027	1.80192901065868	0.189189984180304	1.76189283722285	9.5244418908634	1.65931112639173e-21	5.17027801586713e-19	TRUE
ENSG00000196569	190.189334575523	1.06407166218169	0.111935102401759	1.04165605978303	9.50614811038018	1.97853271995396e-21	6.04164751365142e-19	TRUE
ENSG00000182836	58.0150993419809	1.49780940247353	0.157679105683201	1.4648803246427	9.49909879298041	2.11714560508271e-21	6.33815276439272e-19	TRUE
ENSG00000167191	151.23450782561	1.04638890940273	0.110552835728388	1.02355074618407	9.4650571603025	2.93400545865166e-21	8.61469141205645e-19	TRUE
ENSG00000163531	154.47273109795	1.09911667326458	0.116702720245939	1.07567962620537	9.41808957793192	4.59369704509928e-21	1.3233314431052e-18	TRUE
ENSG00000119280	213.91631650227	0.786644240836531	0.0844471984942177	0.769540755607957	9.31522010040859	1.21699948628503e-20	3.4409533623333e-18	TRUE
ENSG00000100767	46.5536241744022	1.53849494773461	0.165466087548163	1.50306185473502	9.29794721402835	1.43183289205901e-20	3.97476810835581e-18	TRUE
ENSG00000112562	45.6918181369504	2.20996443393371	0.237833213814628	2.15842422654084	9.29207657117311	1.51307017062666e-20	4.09408650170371e-18	TRUE
ENSG00000137269	23.513503139271	1.5678881312967	0.168782590048383	1.53137722021634	9.28939490054781	1.55167937807144e-20	4.09408650170371e-18	TRUE
ENSG00000019102	32.6081677376794	1.5814752866258	0.170249738287933	1.54464749334356	9.28914959006364	1.55525947798543e-20	4.09408650170371e-18	TRUE
ENSG00000084636	62.1542803139962	1.55263387070845	0.167670310203584	1.51602511646129	9.2600405451821	2.04354597369e-20	5.2882813434405e-18	TRUE
ENSG00000122870	98.7770300583844	1.41541424494889	0.153157437895099	1.38175489616811	9.24156387310642	2.42920417051627e-20	6.1815148792404e-18	TRUE
