approvedSymbol	log2FC_shrunk	padj	baseMean	sm_evidence	sm_categories
STRADA	0.535114069949302	0.0303628540366881	25.2059586114697	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket
LRRK2	-0.531677050099243	0.0308299841205406	422.898537675914	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
GNAL	0.594284978033318	0.0308401374360053	14.3890105593492	weak	Structure with Ligand
GPR68	0.541621351790879	0.0315011192411423	10.8090340254885	weak	Structure with Ligand;Druggable Family
E2F1	0.606869433333989	0.0325133670144082	28.2371754715108	weak	Structure with Ligand
GPR132	0.537778074303557	0.0338404809814399	11.9687628991679	weak	Structure with Ligand;Druggable Family
IDO2	0.601790433928375	0.0345531661299564	543.648055118721	strong	High-Quality Ligand
RORA	-0.582997099839831	0.0347609371165958	1090.18923271524	strong	Structure with Ligand;High-Quality Ligand;Med-Quality Pocket;Druggable Family
CYP27B1	0.710116305117686	0.0349326108850401	6.12937249548954	strong	High-Quality Ligand;Druggable Family
GDF2	-0.568893414077923	0.0353871190350468	215.135007384227	weak	Structure with Ligand
CYP21A2	0.703036824641567	0.0358944308298852	89.1668311657952	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
BIRC5	0.547207303981227	0.0373422258760261	21.4283989743134	strong	High-Quality Ligand;Med-Quality Pocket;Druggable Family
PCK1	-0.702705717913361	0.0373992671001252	17568.2105807866	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
MELK	0.715443826596483	0.0378050702397579	7.41337229640691	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
FPR2	-0.790028161213734	0.0378539186121844	11.5315356922516	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
TAX1BP3	0.620883081841181	0.0380450930864741	7.40651657637301	weak	Structure with Ligand
FCGR1A	0.640032574357141	0.0381687155725651	12.6429809670683	weak	Structure with Ligand
ENPP7	0.573450899028323	0.0381687155725651	149.176335616414	strong	Structure with Ligand;High-Quality Ligand
ACOT11	0.562252366155724	0.0420550616151436	13.5592121533157	weak	Structure with Ligand
PRLR	-0.519256585924334	0.0432606152216126	403.869219600756	strong	High-Quality Ligand
NTS	0.759894828415974	0.0453710065296092	26.8849042377221	weak	Structure with Ligand
CFAP91	0.557704724814728	0.0456114699754731	31.5485515499787	weak	Structure with Ligand
SLC13A2	-0.563091162583839	0.0460846922340104	29.0620691884724	weak	Structure with Ligand
