approvedSymbol	log2FC_shrunk	padj	baseMean	sm_evidence	sm_categories
FLNC	2.57500541624335	5.62403931188804e-06	12.0217575235519	weak	Structure with Ligand
CCL20	2.47997603915295	6.14068363258137e-06	13.0602551623526	weak	Structure with Ligand
SPA17	1.17066995015649	7.35817468673195e-06	17.7565008611295	weak	Structure with Ligand
GPR158	-2.32921310675241	7.62994914135496e-06	5.52262019963112	weak	Structure with Ligand
SNAP25	1.61437839454246	7.62994914135496e-06	32.4006486754969	weak	Structure with Ligand
ADAM33	2.62956280392376	9.01525413894497e-06	13.7843960197963	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
SULT1C2	2.31725086537398	1.20998331901809e-05	32.485715012221	strong	Structure with Ligand;High-Quality Pocket
NOTCH3	1.73065075112793	1.23932546798258e-05	53.7851028765924	strong	High-Quality Ligand
CIT	1.33777910928151	1.25732158119891e-05	18.1556649693106	strong	High-Quality Ligand;Druggable Family
POSTN	-1.289610664432	1.28246135355123e-05	178.654485381708	weak	Structure with Ligand
ACSS1	0.797246992022435	1.44181388428237e-05	119.130480565905	weak	Structure with Ligand
ENO2	1.10949978165717	1.65808623419129e-05	35.5737264885499	weak	Structure with Ligand;Med-Quality Pocket
SPON1	1.80921537511767	1.80017265181056e-05	34.3034353872105	strong	High-Quality Pocket
MYO7B	1.74279557659855	1.80444629639761e-05	10.7104163744379	weak	Structure with Ligand
DNAH2	1.00337625644178	1.81336360773415e-05	13.9446682262167	weak	Structure with Ligand
PRKX	0.773292720753067	2.1780513129048e-05	69.6264799934802	strong	High-Quality Ligand;Druggable Family
AKR1D1	-0.769967793048836	2.3319137205705e-05	8075.46213381282	strong	Structure with Ligand;High-Quality Pocket
ALDH3A1	1.78419741475781	3.2230098542726e-05	30.6322209890362	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
CFP	-1.15708492265794	3.56472924188554e-05	474.410003060985	weak	Structure with Ligand
LYVE1	-1.47750463801058	3.81925322872499e-05	844.25506040466	weak	Structure with Ligand
STING1	0.707317813075869	4.41381051188666e-05	184.098884767393	strong	Structure with Ligand;High-Quality Ligand
AADAT	-0.601344791322538	4.46387240440352e-05	1203.17251260278	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
VIM	0.82275358305051	4.73134115970545e-05	1716.53578922855	strong	High-Quality Pocket
ROR2	1.73489744996261	4.83184281510989e-05	6.54454154418924	strong	High-Quality Pocket;Druggable Family
ITPR3	0.940123224336611	5.07544967835164e-05	72.2694170039697	strong	Structure with Ligand;High-Quality Ligand;Druggable Family
HMGCS2	-0.575979895331774	5.08265458719941e-05	48749.1740035441	strong	Structure with Ligand;High-Quality Pocket
ADCY1	-0.778736850650174	5.12594162745433e-05	2162.58393707443	strong	High-Quality Ligand;Druggable Family
LIPC	-0.733373115014137	5.40439021126089e-05	4557.71875641083	strong	High-Quality Ligand;Druggable Family
MAPK13	0.912040548165608	5.54143757159312e-05	65.9817160447064	strong	Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
MAT1A	-0.535729540209045	5.5449764587817e-05	39033.0426526436	strong	High-Quality Pocket
EFHC1	0.694048473077144	6.22593100370824e-05	143.670899335178	weak	Structure with Ligand
F13A1	1.29533702868318	6.84288952221855e-05	42.6426332285271	strong	High-Quality Ligand;High-Quality Pocket;Druggable Family
CHI3L1	2.22121071863244	7.16481507262293e-05	1121.94598770047	strong	Structure with Ligand;High-Quality Pocket
ASNS	1.25863685264156	7.22053456349287e-05	61.1860517803988	strong	Structure with Ligand;High-Quality Ligand
KCNN3	1.37016221053289	8.63924280076657e-05	11.6380413205763	strong	High-Quality Ligand;Druggable Family
KCNAB2	1.11798091959734	8.63924280076657e-05	187.754753768592	strong	Structure with Ligand;High-Quality Pocket
