approvedSymbol	log2FC_shrunk	padj	baseMean	sm_evidence	sm_categories
TUBB1	-0.8154544256213	0.004151463417543	11.0090897981837	strong	Approved Drug;High-Quality Ligand;Druggable Family
PDGFRB	0.557344647288123	0.0046433073858653	448.880884153931	strong	Approved Drug;High-Quality Ligand;Druggable Family
EPHA4	0.878271469281136	0.0046743828069023	32.5879473583785	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
EPHB2	0.891188450394592	0.0048541681930903	14.4598231759754	strong	Approved Drug;High-Quality Ligand;Druggable Family
AGER	0.88410958642888	0.0058574223823007	63.6315433977191	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket
NTRK2	1.07302530595856	0.0058824192271242	35.1041984263744	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
GSTP1	0.541368899345723	0.0060673345420721	324.058353393621	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
KDR	-0.695741704061142	0.0070669725377328	889.161063728035	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
RPS29	-0.539120361675446	0.0071275338158491	3089.31541359501	strong	Approved Drug;Structure with Ligand;High-Quality Ligand
MME	-0.576733716865017	0.0094228840751606	2069.76592439294	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
PDE1A	0.606323566925873	0.0095352043162545	54.1354279447871	strong	Approved Drug;High-Quality Ligand;Druggable Family
BMX	0.939909694523109	0.010517962155758	11.1049361631705	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
CACNA1H	-0.761793092756384	0.010849010263012	1180.56618782159	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
PDE4C	0.781755079545942	0.0156393149109303	7.31744444148586	strong	Approved Drug;High-Quality Ligand;Med-Quality Pocket;Druggable Family
CA14	-0.612725105764652	0.0175533101976045	162.369554724469	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
CACNA2D1	0.723784709922513	0.0194135088440707	22.809751315575	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
PLK1	0.601295716280265	0.0210737062173382	21.2681005961899	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
ABCC9	-0.514059857218589	0.0218696365582005	1869.39398530974	strong	Approved Drug;High-Quality Ligand;Druggable Family
CXCR2	-0.951634521991363	0.0225808185707803	20.0813193231308	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;Druggable Family
JAK3	0.576389824719073	0.023852149491979	50.1598696033008	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
PDE5A	0.576962485091179	0.023852149491979	37.680174073909	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
CDC7	0.556364161096567	0.0242076050866144	22.1752174423078	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;Druggable Family
GCK	-0.956696131050817	0.0267128014494043	420.690567812191	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
ATP2A1	0.762227537664127	0.0267423721548101	13.8624049650285	strong	Advanced Clinical;High-Quality Ligand;Druggable Family
CHEK1	0.645932086359622	0.0268862198042826	19.8979168755237	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
PRKAA2	0.748968598825275	0.0282055198264736	80.4317634509624	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
ACE	0.541528916231549	0.0305393990224089	20.1395406480072	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;High-Quality Pocket;Druggable Family
EEF1A2	1.59040626759175	0.0312086048951829	24.4482105280007	weak	Advanced Clinical
EPHB1	-0.551283103191348	0.0313068781548018	46.4613776205074	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
PTK6	0.509834110061298	0.0319315894446103	93.5569106168436	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
CXCR1	-0.804684338356277	0.0329113570084173	13.8041960626348	strong	Advanced Clinical;High-Quality Ligand;Druggable Family
GABRB3	1.07585003405928	0.0330074871502472	73.5673541615151	strong	Approved Drug;Structure with Ligand;High-Quality Ligand;Druggable Family
FGF1	0.504192877512747	0.0483738764271029	15.3806887434255	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;Med-Quality Pocket;Druggable Family
SLC6A9	0.608809774798205	0.0494848940995395	10.6718352208198	strong	Advanced Clinical;Structure with Ligand;High-Quality Ligand;Druggable Family
